NEEDS ID,PG,OLD CODE,SPECIES,REGION,PLANT,NEW CODE,PREV,COUNT,WEIGHT,W/G INDEX,WHG,ID,DATE
,19,P-AGSK-4,Pink,Southeast AK,#VALUE!,SEA-B-P-4,NP,0,248,0,0,AG,N/A
,17,P-AGSK-5,Pink,Southeast AK,#VALUE!,SEA-B-P-5,P,1,246.5,0.004056795132,0.4056795132,AG,N/A
,2,P-AGS-K-6,Pink,Southeast AK,#VALUE!,SEA-B-P-6,NP,0,238,0,0,KO,N/A
,2,P-AGSK-7,Pink,Southeast AK,#VALUE!,SEA-B-P-7,P,1,238.5,0.004192872117,0.4192872117,KO,N/A
,17,P-AGSK-8,Pink,Southeast AK,#VALUE!,SEA-B-P-8,P,2,244,0.008196721311,0.8196721311,AG,N/A
,17,P-AGSK-9,Pink,Southeast AK,#VALUE!,SEA-B-P-9,NP,0,245.5,0,0,AG,N/A
 ★,7,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-4,P,4,260.5,0.01535508637,1.535508637,SZ,14-Mar
,N/A,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-3,NP,0,265,0,0,AG,27-Mar
,12,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-1,P,1,266.5,0.003752345216,0.3752345216,MB,14-Mar
,12,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-2,NP,0,263.5,0,0,MB,13-Mar
,11,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-7,P,1,266,0.003759398496,0.3759398496,KO,14-Mar
,11,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-8,P,1,268,0.003731343284,0.3731343284,KO,14-Mar
,10,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-5,P,1,261.5,0.003824091778,0.3824091778,AG,N/A
✓,10,N/A,Pink,Southeast AK,#VALUE!,SEA-W-P-6,P,4,267,0.01498127341,1.498127341,AG,N/A
,8,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-11,P,6,260.5,0.02303262956,2.303262956,AG,14-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-4,NP,0,263,0,0,AG,27-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-9,NP,0,264.5,0,0,AG,27-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-10,P,2,263,0.007604562738,0.7604562738,AG,27-Mar
,9,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-12,P,3,261.5,0.01147227533,1.147227533,DD,14-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-7,P,2,264,0.007575757576,0.7575757576,AG,27-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-6,P,1,262,0.003816793893,0.3816793893,KO,27-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-5,P,1,262,0.003816793893,0.3816793893,KO,27-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-3,NP,0,264.5,0,0,KO,27-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-2,P,1,261.5,0.003824091778,0.3824091778,KO,27-Mar
,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-1,NP,0,264,0,0,KO,27-Mar
Louse,N/A,N/A,Pink,PW Sound,#VALUE!,PWS-J-P-8,NP,0,264.5,0,0,KO,27-Mar
Weight ,4,N/A,Red,Kodiak,#VALUE!,KOD-W-R-1,P,4,270,0.01481481481,1.481481481,KO,28-Feb
,11,N/A,Red,Kodiak,#VALUE!,KOD-W-R-3,P,1,269.5,0.003710575139,0.3710575139,KO,7-Mar
,16,R-OBIK-10,Red,Kodiak,#VALUE!,KOD-W-R-10,P,13,269,0.04832713755,4.832713755,AG,N/A
,2,R-OBI-K-11,Red,Kodiak,#VALUE!,KOD-W-R-11,P,1,267.5,0.003738317757,0.3738317757,KO,N/A
,2,R-OBI-K-12,Red,Kodiak,#VALUE!,KOD-W-R-12,P,1,279,0.003584229391,0.3584229391,KO,N/A
,5,N/A,Red,Kodiak,#VALUE!,KOD-W-R-2,P,3,264,0.01136363636,1.136363636,AG,28-Feb
✓,13,N/A,Red,Kodiak,#VALUE!,KOD-W-R-6,P,4,265,0.01509433962,1.509433962,DD,28-Feb
✓,5,N/A,Red,Kodiak,#VALUE!,KOD-W-R-7,P,6,272,0.02205882353,2.205882353,AG,28-Feb
,4,N/A,Red,Kodiak,#VALUE!,KOD-W-R-8,P,3,274,0.01094890511,1.094890511,KO,28-Feb
,6,N/A,Red,Kodiak,#VALUE!,KOD-W-R-5,NP,0,270.5,0,0,AG,7-Mar
,4,N/A,Red,Kodiak,#VALUE!,KOD-W-R-4,P,4,260,0.01538461538,1.538461538,DD,*
,16,R-OBIK-9,Red,Kodiak,#VALUE!,KOD-W-R-9,P,5,265,0.01886792453,1.886792453,AG,N /A
✓,3,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-1,P,3,262,0.01145038168,1.145038168,AG,27-Feb
,15,R-AGSK-1,Red,Southeast AK,#VALUE!,SEA-B-R-11,NP,0,267,0,0,AG,N/A
,15,R-AGSK-2,Red,Southeast AK,#VALUE!,SEA-B-R-12,P,11,269,0.04089219331,4.089219331,AG,N/A
Weight ,4,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-2,NP,0,270,0,0,KO,27-Feb
,3,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-3,P,6,277,0.02166064982,2.166064982,AG,27-Feb
"✓, weight",15,R-AGSK-3,Red,Southeast AK,#VALUE!,SEA-B-R-10,P,1,270,0.003703703704,0.3703703704,AG,N/A
,14,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-4,P,1,269.5,0.003710575139,0.3710575139,KO,6-Mar
Weight ,4,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-5,NP,0,270,0,0,KO,27-Feb
,13,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-7,P,11,270.5,0.04066543438,4.066543438,AG,3-Mar
,18,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-8,P,1,271.5,0.003683241252,0.3683241252,MB,27-Feb
,6,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-6,NP,0,272,0,0,AG,6-Mar
,18,N/A,Red,Southeast AK,#VALUE!,SEA-B-R-9,P,2,267.5,0.007476635514,0.7476635514,MB,27-Feb
